"","open","high","low","close","volume","adjusted"
"2018-01-02",2683.72998,2695.889893,2682.360107,2695.810059,3367250000,2695.810059
"2018-01-03",2697.850098,2714.370117,2697.77002,2713.060059,3538660000,2713.060059
"2018-01-04",2719.310059,2729.290039,2719.070068,2723.98999,3695260000,2723.98999
"2018-01-05",2731.330078,2743.449951,2727.919922,2743.149902,3236620000,2743.149902
"2018-01-08",2742.669922,2748.51001,2737.600098,2747.709961,3242650000,2747.709961
"2018-01-09",2751.149902,2759.139893,2747.860107,2751.290039,3453480000,2751.290039
"2018-01-10",2745.550049,2750.800049,2736.060059,2748.22998,3576350000,2748.22998
"2018-01-11",2752.969971,2767.560059,2752.780029,2767.560059,3641320000,2767.560059
"2018-01-12",2770.179932,2787.850098,2769.639893,2786.23999,3573970000,2786.23999
"2018-01-16",2798.959961,2807.540039,2768.639893,2776.419922,4325970000,2776.419922
"2018-01-17",2784.98999,2807.040039,2778.379883,2802.560059,3778050000,2802.560059
"2018-01-18",2802.399902,2805.830078,2792.560059,2798.030029,3681470000,2798.030029
"2018-01-19",2802.600098,2810.330078,2798.080078,2810.300049,3639430000,2810.300049
"2018-01-22",2809.159912,2833.030029,2808.120117,2832.969971,3471780000,2832.969971
"2018-01-23",2835.050049,2842.23999,2830.590088,2839.129883,3519650000,2839.129883
"2018-01-24",2845.419922,2852.969971,2824.810059,2837.540039,4014070000,2837.540039
"2018-01-25",2846.23999,2848.560059,2830.939941,2839.25,3835150000,2839.25
"2018-01-26",2847.47998,2872.870117,2846.179932,2872.870117,3443230000,2872.870117
"2018-01-29",2867.22998,2870.620117,2851.47998,2853.530029,3573830000,2853.530029
"2018-01-30",2832.73999,2837.75,2818.27002,2822.429932,3990650000,2822.429932
"2018-01-31",2832.409912,2839.26001,2813.040039,2823.810059,4261280000,2823.810059
"2018-02-01",2816.449951,2835.959961,2812.699951,2821.97998,3938450000,2821.97998
"2018-02-02",2808.919922,2808.919922,2759.969971,2762.129883,4301130000,2762.129883
"2018-02-05",2741.060059,2763.389893,2638.169922,2648.939941,5283460000,2648.939941
"2018-02-06",2614.780029,2701.040039,2593.070068,2695.139893,5891660000,2695.139893
"2018-02-07",2690.949951,2727.669922,2681.330078,2681.659912,4626570000,2681.659912
"2018-02-08",2685.01001,2685.27002,2580.560059,2581,5305440000,2581
"2018-02-09",2601.780029,2638.669922,2532.689941,2619.550049,5680070000,2619.550049
"2018-02-12",2636.75,2672.610107,2622.449951,2656,4055790000,2656
"2018-02-13",2646.27002,2668.840088,2637.080078,2662.939941,3472870000,2662.939941
"2018-02-14",2651.209961,2702.100098,2648.870117,2698.629883,4003740000,2698.629883
"2018-02-15",2713.459961,2731.51001,2689.820068,2731.199951,3684910000,2731.199951
"2018-02-16",2727.139893,2754.419922,2725.110107,2732.219971,3637460000,2732.219971
"2018-02-20",2722.98999,2737.600098,2706.76001,2716.26001,3627610000,2716.26001
"2018-02-21",2720.530029,2747.75,2701.290039,2701.330078,3779400000,2701.330078
"2018-02-22",2710.419922,2731.26001,2697.77002,2703.959961,3701270000,2703.959961
"2018-02-23",2715.800049,2747.76001,2713.73999,2747.300049,3189190000,2747.300049
"2018-02-26",2757.370117,2780.639893,2753.780029,2779.600098,3424650000,2779.600098
"2018-02-27",2780.449951,2789.149902,2744.219971,2744.280029,3745080000,2744.280029
"2018-02-28",2753.780029,2761.52002,2713.540039,2713.830078,4230660000,2713.830078
"2018-03-01",2715.219971,2730.889893,2659.649902,2677.669922,4503970000,2677.669922
"2018-03-02",2658.889893,2696.25,2647.320068,2691.25,3882450000,2691.25
"2018-03-05",2681.060059,2728.090088,2675.75,2720.939941,3710810000,2720.939941
"2018-03-06",2730.179932,2732.080078,2711.26001,2728.120117,3370690000,2728.120117
"2018-03-07",2710.179932,2730.600098,2701.73999,2726.800049,3393270000,2726.800049
"2018-03-08",2732.75,2740.449951,2722.649902,2738.969971,3212320000,2738.969971
"2018-03-09",2752.909912,2786.570068,2751.540039,2786.570068,3364100000,2786.570068
"2018-03-12",2790.540039,2796.97998,2779.26001,2783.02002,3185020000,2783.02002
