"","open","high","low","close","volume","adjusted"
"2018-01-01",1.351607,1.351607,1.348199,1.351607,0,1.351607
"2018-01-02",1.351114,1.359675,1.350931,1.351132,0,1.351132
"2018-01-03",1.359453,1.36147,1.349874,1.359619,0,1.359619
"2018-01-04",1.351169,1.356116,1.350658,1.351132,0,1.351132
"2018-01-05",1.355381,1.358031,1.352667,1.355289,0,1.355289
"2018-01-08",1.357552,1.358548,1.352576,1.357589,0,1.357589
"2018-01-09",1.357018,1.358511,1.350986,1.357128,0,1.357128
"2018-01-10",1.35318,1.356024,1.348527,1.353235,0,1.353235
"2018-01-11",1.351297,1.355528,1.345931,1.351278,0,1.351278
"2018-01-12",1.354169,1.369488,1.354005,1.354188,0,1.354188
"2018-01-15",1.373155,1.38196,1.373155,1.373306,0,1.373306
"2018-01-16",1.379386,1.380643,1.374268,1.379824,0,1.379824
"2018-01-17",1.379691,1.384466,1.375857,1.379881,0,1.379881
"2018-01-18",1.38259,1.391014,1.380662,1.382801,0,1.382801
"2018-01-19",1.389371,1.3947,1.38437,1.389468,0,1.389468
"2018-01-22",1.388947,1.396921,1.385809,1.389159,0,1.389159
"2018-01-23",1.398484,1.402918,1.391788,1.398484,0,1.398484
"2018-01-24",1.401247,1.423974,1.400168,1.401738,0,1.401738
"2018-01-25",1.422374,1.433959,1.421666,1.422091,0,1.422091
"2018-01-26",1.415027,1.428123,1.414707,1.415027,0,1.415027
"2018-01-29",1.414927,1.415829,1.402721,1.414927,0,1.414927
"2018-01-30",1.407281,1.414988,1.398328,1.407658,0,1.407658
"2018-01-31",1.415308,1.422475,1.412988,1.415588,0,1.415588
"2018-02-01",1.420011,1.427328,1.41625,1.420051,0,1.420051
"2018-02-02",1.426717,1.427633,1.410437,1.426676,0,1.426676
"2018-02-05",1.411214,1.415027,1.398993,1.411134,0,1.411134
"2018-02-06",1.394117,1.399874,1.384045,1.394369,0,1.394369
"2018-02-07",1.395966,1.399228,1.387174,1.395868,0,1.395868
"2018-02-08",1.387925,1.406371,1.384811,1.387925,0,1.387925
"2018-02-09",1.393379,1.39866,1.378797,1.393495,0,1.393495
"2018-02-12",1.382552,1.387482,1.379862,1.382743,0,1.382743
"2018-02-13",1.384811,1.392409,1.383336,1.385233,0,1.385233
"2018-02-14",1.388696,1.398034,1.380701,1.388696,0,1.388696
"2018-02-15",1.401502,1.409841,1.400129,1.401581,0,1.401581
"2018-02-16",1.410576,1.414467,1.400639,1.410417,0,1.410417
"2018-02-19",1.403312,1.405284,1.396239,1.403154,0,1.403154
"2018-02-20",1.399267,1.402348,1.393379,1.399267,0,1.399267
"2018-02-21",1.399913,1.400953,1.391072,1.400109,0,1.400109
"2018-02-22",1.391014,1.395206,1.385809,1.391014,0,1.391014
"2018-02-23",1.395128,1.400482,1.392506,1.395303,0,1.395303
"2018-02-26",1.396921,1.407261,1.39334,1.396804,0,1.396804
"2018-02-27",1.396453,1.399443,1.386174,1.396648,0,1.396648
"2018-02-28",1.390337,1.391595,1.377771,1.390608,0,1.390608
"2018-03-01",1.375308,1.377714,1.371535,1.375421,0,1.375421
"2018-03-02",1.377467,1.381578,1.375932,1.377543,0,1.377543
"2018-03-05",1.379881,1.387732,1.376917,1.379501,0,1.379501
"2018-03-06",1.385003,1.392835,1.382055,1.385233,0,1.385233
"2018-03-07",1.390028,1.391014,1.384869,1.390009,0,1.390009
"2018-03-08",1.390627,1.391208,1.381464,1.390627,0,1.390627
"2018-03-09",1.380319,1.388657,1.37893,1.380567,0,1.380567
"2018-03-12",1.385809,1.390627,1.38439,1.38554,0,1.38554
"2018-03-13",1.390821,1.398797,1.387578,1.390763,0,1.390763
"2018-03-14",1.397253,1.399776,1.392699,1.397233,0,1.397233
"2018-03-15",1.397077,1.398797,1.392447,1.397155,0,1.397155
"2018-03-16",1.393787,1.398015,1.389256,1.393864,0,1.393864
"2018-03-19",1.39435,1.408748,1.391401,1.39435,0,1.39435
"2018-03-20",1.402328,1.406865,1.398543,1.402525,0,1.402525
"2018-03-21",1.400403,1.407895,1.400364,1.400482,0,1.400482
"2018-03-22",1.414427,1.41995,1.407955,1.414627,0,1.414627
"2018-03-23",1.411293,1.417093,1.408808,1.411472,0,1.411472
"2018-03-25",1.414627,1.424501,1.414627,1.414767,0,1.414767
"2018-03-26",1.42367,1.424299,1.406905,1.423893,0,1.423893
"2018-03-27",1.417575,1.420455,1.409344,1.417635,0,1.417635
"2018-03-28",1.408451,1.409642,1.402092,1.408034,0,1.408034
"2018-03-29",1.402859,1.406173,1.401444,1.402938,0,1.402938
"2018-04-01",1.403588,1.407737,1.402761,1.403824,0,1.403824
"2018-04-02",1.405086,1.408848,1.402328,1.404672,0,1.404672
"2018-04-03",1.407123,1.409841,1.401738,1.406865,0,1.406865
"2018-04-04",1.408788,1.409602,1.396765,1.408808,0,1.408808
"2018-04-05",1.400776,1.410258,1.398406,1.400874,0,1.400874
"2018-04-08",1.409086,1.416431,1.408133,1.409165,0,1.409165
"2018-04-09",1.413388,1.418762,1.41223,1.413827,0,1.413827
"2018-04-10",1.418178,1.422273,1.41623,1.418218,0,1.418218
"2018-04-11",1.418782,1.424664,1.414707,1.418903,0,1.418903
"2018-04-12",1.423954,1.429592,1.422313,1.423812,0,1.423812
"2018-04-15",1.424644,1.433692,1.423832,1.424684,0,1.424684
"2018-04-16",1.434185,1.437711,1.429409,1.434206,0,1.434206
"2018-04-17",1.429756,1.431639,1.417475,1.429654,0,1.429654
"2018-04-18",1.420313,1.424704,1.416671,1.420434,0,1.420434
"2018-04-19",1.408431,1.408848,1.400894,1.408649,0,1.408649
"2018-04-22",1.400344,1.404297,1.393884,1.400168,0,1.400168
"2018-04-23",1.393845,1.398191,1.391982,1.393825,0,1.393825
"2018-04-24",1.399208,1.399208,1.392719,1.399384,0,1.399384
"2018-04-25",1.393592,1.399619,1.389603,1.393922,0,1.393922
"2018-04-26",1.391711,1.393534,1.375024,1.391943,0,1.391943
"2018-04-29",1.376993,1.37931,1.371667,1.377107,0,1.377107
"2018-04-30",1.377221,1.3776,1.359102,1.377221,0,1.377221
"2018-05-01",1.361063,1.366475,1.358253,1.360933,0,1.360933
"2018-05-02",1.357368,1.362899,1.354023,1.357386,0,1.357386
"2018-05-03",1.357239,1.358696,1.349455,1.357239,0,1.357239
"2018-05-06",1.353327,1.357589,1.351717,1.353198,0,1.353198
"2018-05-07",1.356926,1.35912,1.348563,1.357036,0,1.357036
"2018-05-08",1.355381,1.3606,1.350001,1.355344,0,1.355344
"2018-05-09",1.354646,1.361767,1.346185,1.354463,0,1.354463
"2018-05-10",1.352448,1.359619,1.350348,1.352338,0,1.352338
"2018-05-13",1.355032,1.360729,1.354481,1.355381,0,1.355381
"2018-05-14",1.356116,1.357405,1.345297,1.356245,0,1.356245
"2018-05-15",1.350257,1.352155,1.345786,1.35002,0,1.35002
"2018-05-16",1.355014,1.356926,1.347564,1.35483,0,1.35483
"2018-05-17",1.351242,1.352814,1.345623,1.351534,0,1.351534
"2018-05-20",1.3476,1.3476,1.339298,1.347709,0,1.347709
"2018-05-21",1.343093,1.349091,1.341436,1.343183,0,1.343183
"2018-05-22",1.344447,1.344447,1.330796,1.344104,0,1.344104
"2018-05-23",1.337149,1.342246,1.335096,1.337131,0,1.337131
"2018-05-24",1.338401,1.338509,1.330672,1.338348,0,1.338348
"2018-05-27",1.330796,1.334757,1.329734,1.330902,0,1.330902
"2018-05-28",1.331381,1.332623,1.320777,1.331558,0,1.331558
"2018-05-29",1.325574,1.330849,1.324328,1.325381,0,1.325381
"2018-05-30",1.328656,1.334935,1.327863,1.328356,0,1.328356
"2018-05-31",1.328904,1.336184,1.325627,1.328939,0,1.328939
"2018-06-03",1.33547,1.339944,1.329699,1.335648,0,1.335648
"2018-06-04",1.331806,1.339244,1.330336,1.331647,0,1.331647
"2018-06-05",1.340698,1.344447,1.339998,1.340608,0,1.340608
"2018-06-06",1.342462,1.347346,1.337506,1.342156,0,1.342156
"2018-06-07",1.341562,1.343634,1.335773,1.341922,0,1.341922
"2018-06-10",1.341112,1.34405,1.334579,1.341382,0,1.341382
"2018-06-11",1.337149,1.342282,1.334739,1.337435,0,1.337435
"2018-06-12",1.337453,1.338151,1.331398,1.337256,0,1.337256
"2018-06-13",1.33833,1.344556,1.330743,1.338276,0,1.338276
"2018-06-14",1.325522,1.329787,1.321336,1.325662,0,1.325662
"2018-06-17",1.327492,1.327669,1.322821,1.32751,0,1.32751
"2018-06-18",1.325557,1.327492,1.315184,1.325873,0,1.325873
"2018-06-19",1.317402,1.321598,1.314994,1.317332,0,1.317332
"2018-06-20",1.317297,1.327017,1.310324,1.317523,0,1.317523
"2018-06-21",1.324854,1.331558,1.324644,1.324784,0,1.324784
"2018-06-24",1.326277,1.32908,1.322279,1.326242,0,1.326242
"2018-06-25",1.327863,1.329434,1.321353,1.327845,0,1.327845
"2018-06-26",1.322017,1.323434,1.312784,1.322104,0,1.322104
"2018-06-27",1.311957,1.312164,1.305193,1.312043,0,1.312043
"2018-06-29",1.307873,1.312818,1.306882,1.311888,0,1.311888
